hand,type,2,3,4,5,6,7,8,9,10,11
4,hard,0,0,0,0,0,0,0,0,0,0
5,hard,0,0,0,0,0,0,0,0,0,0
6,hard,0,0,0,0,0,0,0,0,0,0
7,hard,0,0,0,0,0,0,0,0,0,0
8,hard,0,0,0,0,0,0,0,0,0,0
9,hard,0,4,4,4,4,0,0,0,0,0
10,hard,4,4,4,4,4,4,4,4,0,0
11,hard,4,4,4,4,4,4,4,4,4,0
12,hard,0,0,1,1,1,0,0,0,0,0
13,hard,1,1,1,1,1,0,0,0,0,0
14,hard,1,1,1,1,1,0,0,0,0,0
15,hard,1,1,1,1,1,0,0,0,0,0
16,hard,1,1,1,1,1,0,0,0,0,0
17,hard,1,1,1,1,1,1,1,1,1,1
18,hard,1,1,1,1,1,1,1,1,1,1
19,hard,1,1,1,1,1,1,1,1,1,1
20,hard,1,1,1,1,1,1,1,1,1,1
21,hard,1,1,1,1,1,1,1,1,1,1
4,soft,0,0,0,0,0,0,0,0,0,0
5,soft,0,0,0,0,0,0,0,0,0,0
6,soft,0,0,0,0,0,0,0,0,0,0
7,soft,0,0,0,0,0,0,0,0,0,0
8,soft,0,0,0,0,0,0,0,0,0,0
9,soft,0,4,4,4,4,0,0,0,0,0
10,soft,4,4,4,4,4,4,4,4,0,0
11,soft,4,4,4,4,4,4,4,4,4,0
12,soft,0,0,1,1,1,0,0,0,0,0
13,soft,0,0,0,4,4,0,0,0,0,0
14,soft,0,1,1,4,4,0,0,0,0,0
15,soft,0,0,4,4,4,0,0,0,0,0
16,soft,0,0,4,4,4,0,0,0,0,0
17,soft,0,4,4,4,4,0,0,0,0,0
18,soft,1,5,5,5,5,1,1,0,0,0
19,soft,1,1,1,1,1,1,1,1,1,1
20,soft,1,1,1,1,1,1,1,1,1,1
21,soft,1,1,1,1,1,1,1,1,1,1
2,double,0,0,3,3,3,3,0,0,0,0
3,double,0,0,3,3,3,3,0,0,0,0
4,double,0,0,0,0,0,0,0,0,0,0
5,double,0,3,3,3,3,0,0,0,0,0
6,double,3,3,3,3,3,3,0,0,0,0
7,double,3,3,3,3,3,3,0,0,0,0
8,double,3,3,3,3,3,3,3,3,3,3
9,double,3,3,3,3,3,1,3,3,1,1
10,double,3,3,3,3,3,3,3,3,3,3
11,double,3,3,3,3,3,3,3,3,3,3
